ord_number,ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype,status
7179499,2023-07-28 09:31:00,DELTACORP,DELTACORP-EQ,15044,Eq,1,246,202.5,49815.0,-49815.0,B,N
6287885,2023-07-28 09:31:00,RBLBANK,RBLBANK-EQ,18391,Eq,1,209,239.0,49951.0,-49951.0,B,N
6548635,2023-07-28 09:31:00,IEX,IEX-EQ,220,Eq,1,407,122.8,49979.6,-49979.6,B,N
4175946,2023-07-28 09:31:00,SUNTV,SUNTV-EQ,13404,Eq,1,91,545.8,49667.799999999996,-49667.799999999996,B,N
2841140,2023-07-28 09:31:00,BSOFT,BSOFT-EQ,6994,Eq,1,120,416.05,49926.0,-49926.0,B,N
6535656,2023-07-28 09:31:00,MOTHERSON,MOTHERSON-EQ,4204,Eq,1,511,97.7,49924.700000000004,49924.700000000004,S,N
3716172,2023-07-28 09:31:00,AXISBANK,AXISBANK-EQ,5900,Eq,1,52,946.85,49236.200000000004,49236.200000000004,S,N
1388119,2023-07-28 09:31:00,LALPATHLAB,LALPATHLAB-EQ,11654,Eq,1,20,2430.65,48613.0,48613.0,S,N
4100578,2023-07-28 09:31:00,HINDPETRO,HINDPETRO-EQ,1406,Eq,1,175,284.65,49813.74999999999,49813.74999999999,S,N
6953410,2023-07-28 09:31:00,MGL,MGL-EQ,17534,Eq,1,45,1090.0,49050.0,49050.0,S,N
9313604,2023-07-28 09:40:00,DELTACORP,DELTACORP-EQ,15044,Eq,1,246,199.75,49138.5,49138.5,S,N
2946797,2023-07-28 09:40:00,RBLBANK,RBLBANK-EQ,18391,Eq,1,209,239.4,50034.6,50034.6,S,N
2225191,2023-07-28 09:40:00,SUNTV,SUNTV-EQ,13404,Eq,1,91,544.95,49590.450000000004,49590.450000000004,S,N
3923101,2023-07-28 09:45:00,IEX,IEX-EQ,220,Eq,1,407,124.0,50468.0,50468.0,S,N
5503446,2023-07-28 09:50:00,BSOFT,BSOFT-EQ,6994,Eq,1,120,422.2,50664.0,50664.0,S,N
6177146,2023-07-28 15:26:00,MOTHERSON,MOTHERSON-EQ,4204,Eq,1,511,97.55,49848.049999999996,-49848.049999999996,B,N
7904031,2023-07-28 15:26:00,AXISBANK,AXISBANK-EQ,5900,Eq,1,52,949.7,49384.4,-49384.4,B,N
1368362,2023-07-28 15:26:00,LALPATHLAB,LALPATHLAB-EQ,11654,Eq,1,20,2335.9,46718.0,-46718.0,B,N
6601061,2023-07-28 15:26:00,HINDPETRO,HINDPETRO-EQ,1406,Eq,1,175,279.45,48903.75,-48903.75,B,N
8361597,2023-07-28 15:26:00,MGL,MGL-EQ,17534,Eq,1,45,1107.3,49828.5,-49828.5,B,N
8168080,2023-07-28 12:15:00,RBLBANK,RBLBANK31AUG23C237.5,172745,OPTSTK,5000,0,12.9,0.0,-0.0,B,N
1125076,2023-07-28 12:15:00,IEX,IEX31AUG23C123,148604,OPTSTK,3750,7500,6.05,45375.0,-45375.0,B,N
8051680,2023-07-28 12:15:00,BSOFT,BSOFT31AUG23C415,102351,OPTSTK,2000,2000,21.2,42400.0,-42400.0,B,N
8383221,2023-07-28 12:15:00,MOTHERSON,MOTHERSON31AUG23P98,135856,OPTSTK,7100,7100,3.95,28045.0,-28045.0,B,N
1262967,2023-07-28 12:15:00,AXISBANK,AXISBANK31AUG23P950,88571,OPTSTK,625,2500,19.95,49875.0,-49875.0,B,N
9580128,2023-07-28 12:15:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,300,118.1,35430.0,-35430.0,B,N
7384533,2023-07-28 12:16:00,IEX,IEX31AUG23C123,148604,OPTSTK,3750,7500,6.05,45375.0,45375.0,S,N
6970374,2023-07-28 12:16:00,BSOFT,BSOFT31AUG23C415,102351,OPTSTK,2000,2000,21.2,42400.0,42400.0,S,N
6250667,2023-07-28 13:15:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,300,125.95,37785.0,-37785.0,B,N
3008727,2023-07-28 13:15:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,5400,9.0,48600.0,-48600.0,B,N
9337938,2023-07-28 14:15:00,MOTHERSON,MOTHERSON31AUG23P97,135854,OPTSTK,7100,7100,4.1,29109.999999999996,-29109.999999999996,B,N
7062910,2023-07-28 14:15:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,300,132.65,39795.0,-39795.0,B,N
9829476,2023-07-28 14:15:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,5400,9.25,49950.0,-49950.0,B,N
4663306,2023-07-28 15:26:00,MOTHERSON,MOTHERSON31AUG23P98,135856,OPTSTK,7100,7100,4.3,30530.0,30530.0,S,N
1440569,2023-07-28 15:26:00,MOTHERSON,MOTHERSON31AUG23P97,135854,OPTSTK,7100,7100,3.75,26625.0,26625.0,S,N
4243942,2023-07-28 15:26:00,AXISBANK,AXISBANK31AUG23P950,88571,OPTSTK,625,2500,19.3,48250.0,48250.0,S,N
9700223,2023-07-28 15:26:00,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,900,127.0,114300.0,114300.0,S,N
9868064,2023-07-28 15:26:00,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,9.65,104220.0,104220.0,S,N
